agency_id,parser_id,docs_fetched,doc_count,docs_inserted,date_range_min,date_range_max,error
lake-county-sheriffs-department,civicplus,0,0,0,,,
avenal-police-department,civicplus,3,0,0,2025-05-14T00:00:00,2025-05-14T00:00:00,
nevada-county-sheriffs-department,civicplus,200,0,0,2022-03-18T00:00:00,2026-02-20T00:00:00,
newark-police-department,citizenrims,0,0,0,,,
campbell-police-department,civicplus,0,0,0,,,
martinez-police-department,citizenrims,0,0,0,,,
gilroy-police-department,civicplus,0,0,0,,,
uc-riverside-police-department,citizenrims,0,0,0,,,
rio-dell-police-department,civicplus,5,0,0,2023-05-08T00:00:00,2026-02-20T00:00:00,
newport-beach-police-department,arcgis,0,0,0,,,
shafter-police-department,citizenrims,0,0,0,,,
mcfarland-police-department,civicplus,3,0,0,2025-04-28T00:00:00,2026-02-13T00:00:00,
costa-mesa-police-department,arcgis,0,0,0,,,
ripon-police-department,citizenrims,0,0,0,,,
uc-san-diego-police-department,citizenrims,0,0,0,,,
bakersfield-police-department,arcgis,0,0,0,,,
azusa-police-department,civicplus,0,0,0,,,
cotati-police-department,civicplus,3,0,0,2026-02-05T00:00:00,2026-02-12T00:00:00,
la-mesa-police-department,civicplus,4,0,0,2022-11-10T00:00:00,2026-02-17T00:00:00,
sierra-county-sheriffs-office,civicplus,4,0,0,2025-12-10T00:00:00,2026-02-05T00:00:00,
uc-san-francisco-police-department,citizenrims,0,0,0,,,
baldwin-park-police-department,civicplus,4,0,0,2026-02-11T00:00:00,2026-02-19T00:00:00,
covina-police-department,nixle,1,0,0,,,
riverside-county-sheriffs-office,civicplus,42,0,0,2025-12-27T00:00:00,2026-02-20T00:00:00,
orinda-police-department,civicplus,6,0,0,2025-11-17T00:00:00,2026-02-19T00:00:00,
siskiyou-county-sheriffs-department,citizenrims,0,0,0,,,
mendocino-county-sheriffs-department,nixle,1,0,0,,,
gridley-police-department,citizenrims,0,0,0,,,
riverside-police-department,arcgis,0,0,0,,,
la-palma-police-department,civicplus,3,0,0,2026-01-15T00:00:00,2026-02-05T00:00:00,
central-marin-police-authority,civicplus,0,0,0,,,
csu-channel-islands-university-police-department,citizenrims,0,0,0,,,
oroville-police-department,citizenrims,0,0,0,,,
uc-santa-cruz-police-department,citizenrims,0,0,0,,,
ceres-police-department,civicplus,7,0,0,2025-02-04T00:00:00,2026-01-09T00:00:00,
menlo-park-police-department,citizenrims,0,0,0,,,
rocklin-police-department,citizenrims,0,0,0,,,
union-city-police-department,civicplus,3,0,0,2026-01-30T00:00:00,2026-02-12T00:00:00,
csu-chico-university-police-department,citizenrims,0,0,0,,,
bear-valley-police-department,nixle,1,0,0,,,
grover-beach-police-department,civicplus,20,0,0,2024-03-11T00:00:00,2026-02-19T00:00:00,
pacifica-police-department,citizenrims,0,0,0,,,
south-lake-tahoe-police-department,citizenrims,0,0,0,,,
la-verne-police-department,nixle,7,0,0,2024-12-08T00:00:00,2026-02-13T00:00:00,
gustine-police-department,citizenrims,0,0,0,,,
banning-police-department,civicplus,3,0,0,2024-01-08T00:00:00,2024-01-08T00:00:00,
rohnert-park-department-of-public-safety,civicplus,19,0,0,2025-06-30T00:00:00,2026-02-17T00:00:00,
beaumont-police-department,civicplus,0,0,0,,,
csu-fullerton-university-police-department,citizenrims,0,0,0,,,
merced-county-district-attorney,civicplus,31,0,0,2021-01-22T00:00:00,2026-02-11T00:00:00,
lincoln-police-department,citizenrims,0,0,0,,,
hanford-police-department,citizenrims,0,0,0,,,
merced-county-sheriffs-department,civicplus,31,0,0,2021-01-22T00:00:00,2026-02-11T00:00:00,
alameda-police-department,rave,0,0,0,,,
south-pasadena-police-department,nixle,10,0,0,,,
daly-city-police-department,civicplus,0,0,0,,,
south-san-francisco-police-department,citizenrims,0,0,0,,,
chino-police-department,civicplus,12,0,0,2016-11-22T00:00:00,2026-02-17T00:00:00,
lodi-police-department,civicplus,3,0,0,2025-09-02T00:00:00,2026-02-19T00:00:00,
mill-valley-police-department,civicplus,48,0,0,2023-06-20T00:00:00,2026-02-19T00:00:00,
sacramento-police-department,socrata,0,0,0,,,
belmont-police-department,citizenrims,0,0,0,,,
vacaville-police-department,citizenrims,0,0,0,,,
danville-police-department,civicplus,5,0,0,2025-12-01T00:00:00,2026-02-12T00:00:00,
berkeley-police-department,nixle,1,0,0,,,
stockton-police-department,arcgis,0,0,0,,,
pasadena-police-department,nixle,3,0,0,2023-04-20T13:23:28-07:00,2025-02-06T14:15:08-08:00,
chowchilla-police-department,civicplus,3,0,0,2022-06-13T00:00:00,2025-02-27T00:00:00,
healdsburg-police-department,citizenrims,0,0,0,,,
milpitas-police-department,civicplus,0,0,0,,,
delano-police-department,civicplus,0,0,0,,,
paso-robles-police-department,civicplus,99,0,0,2022-05-22T00:00:00,2026-02-20T00:00:00,
palo-alto-police-department,nixle,0,0,0,,,
