agency_id,canonical_name,detected_platform,detection_source
monterey-county-emergency-communication,Monterey County Emergency Communication,unknown,
monterey-county-sheriffs-department,Monterey County Sheriff's Department,rave,homepage_url:html=rave
monterey-peninsula-airport-district-police-department,Monterey Peninsula Airport District Police Department,unknown,
monterey-police-department,Monterey Police Department,unknown,
moorpark-college-police-department,Moorpark College Police Department,unknown,
moraga-police-department,Moraga Police Department,civicplus,homepage_url:html=civicplus
morgan-hill-police-department,Morgan Hill Police Department,civicplus,homepage_url:html=civicplus
morro-bay-police-department,Morro Bay Police Department,civicplus,homepage_url:html=civicplus
mountains-recreation-and-conservation-authority-ranger-division,Mountains Recreation and Conservation Authority Ranger Division,unknown,
mt-san-antonio-community-college-district-police-department,Mt. San Antonio Community College District Police Department,unknown,
mt-shasta-police-department,Mt. Shasta Police Department,unknown,
murrieta-police-department,Murrieta Police Department,crimemapping,homepage_url:html=crimemapping
napa-county-district-attorney,Napa County District Attorney,civicplus,homepage_url:html=civicplus
napa-county-sheriffs-department,Napa County Sheriff's Department,civicplus,homepage_url:html=civicplus
napa-police-department,Napa Police Department,civicplus,homepage_url:html=civicplus
napa-valley-college-police-department,Napa Valley College Police Department,unknown,
national-city-police-department,National City Police Department,unknown,
nevada-city-police-department,Nevada City Police Department,civicplus,homepage_url:html=civicplus
nevada-county-district-attorney,Nevada County District Attorney,civicplus,homepage_url:html=civicplus
nevada-county-sheriffs-department,Nevada County Sheriff's Department,civicplus,homepage_url:html=civicplus
newman-police-department,Newman Police Department,unknown,
newport-beach-police-department,Newport Beach Police Department,arcgis,feed_url:html=arcgis
novato-police-department,Novato Police Department,unknown,
oakdale-police-department,Oakdale Police Department,unknown,
oakland-city-housing-authority-police-department,Oakland City Housing Authority Police Department,unknown,
oakland-police-department,Oakland Police Department,unknown,
oakley-police-department,Oakley Police Department,unknown,
occidental-college-department-of-campus-safety,Occidental College Department of Campus Safety,unknown,
oceanside-police-department,Oceanside Police Department,unknown,
oceanside-police-department-harbor-unit,Oceanside Police Department Harbor Unit,unknown,
ohlone-community-college-district-police-department,Ohlone Community College District Police Department,unknown,
ontario-police-department,Ontario Police Department,unknown,
orange-county-auto-theft-task-force-ocatt,Orange County Auto Theft Task Force (OCATT),unknown,
orange-county-district-attorney,Orange County District Attorney,unknown,
orange-county-district-attorney-public-assistance-fraud,Orange County District Attorney Public Assistance Fraud,unknown,
orange-county-probation-department,Orange County Probation Department,unknown,
